         3297113 function calls (3264112 primitive calls) in 2.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.007    0.004 common.py:8(pyparsing_common)
      308    0.000    0.000    0.007    0.000 traceback.py:285(line)
        1    0.000    0.000    0.007    0.007 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.007    0.007 polynomial.py:452(polyfit)
       98    0.000    0.000    0.007    0.000 linecache.py:26(getline)
        1    0.000    0.000    0.007    0.007 __init__.py:2237(class_factory)
        4    0.000    0.000    0.007    0.002 numeric.py:1(<module>)
        3    0.000    0.000    0.007    0.002 accessor.py:1(<module>)
    28418    0.005    0.000    0.007    0.000 inspect.py:2830(<genexpr>)
      182    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
        1    0.000    0.000    0.007    0.007 async_vector_env.py:1(<module>)
     1671    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.007    0.007 algorithms.py:1(<module>)
        2    0.000    0.000    0.007    0.003 helpers.py:2(<module>)
    17262    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
      357    0.001    0.000    0.006    0.000 metadata.py:462(search)
        1    0.000    0.000    0.006    0.006 ElementTree.py:6(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:146(_load_global_deps)
       67    0.002    0.000    0.006    0.000 enum.py:179(__new__)
      115    0.004    0.000    0.006    0.000 {built-in method builtins.eval}
        2    0.000    0.000    0.006    0.003 __init__.py:340(__init__)
    29/28    0.000    0.000    0.006    0.000 core.py:4956(parseImpl)
        1    0.000    0.000    0.006    0.006 parser.py:5(<module>)
        2    0.006    0.003    0.006    0.003 {built-in method _ctypes.dlopen}
    50/24    0.000    0.000    0.006    0.000 core.py:4108(parseImpl)
     1414    0.001    0.000    0.006    0.000 re.py:203(sub)
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
    187/4    0.000    0.000    0.006    0.002 core.py:778(_parseNoCache)
        3    0.000    0.000    0.006    0.002 version.py:5(<module>)
        1    0.000    0.000    0.006    0.006 _recursive.py:1(<module>)
    50/22    0.000    0.000    0.006    0.000 core.py:4373(parseImpl)
        1    0.000    0.000    0.006    0.006 setupcfg.py:1(<module>)
        1    0.000    0.000    0.006    0.006 asserters.py:1(<module>)
        1    0.000    0.000    0.006    0.006 feedparser.py:5(<module>)
        1    0.000    0.000    0.006    0.006 _importlib.py:4(disable_importlib_metadata_finder)
     5018    0.004    0.000    0.006    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.006    0.006 _psosx.py:5(<module>)
    35953    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.006    0.006 mathtext.py:1(<module>)
      246    0.001    0.000    0.006    0.000 typing.py:832(__getitem__)
     2554    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.006    0.006 _tensor.py:1(<module>)
       92    0.000    0.000    0.006    0.000 __init__.py:1338(_preprocess_data)
        1    0.000    0.000    0.005    0.005 eval.py:1(<module>)
     6274    0.003    0.000    0.005    0.000 typing.py:713(__setattr__)
        2    0.000    0.000    0.005    0.003 tags.py:5(<module>)
     8624    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
     16/8    0.000    0.000    0.005    0.001 functools.py:973(__get__)
        2    0.000    0.000    0.005    0.003 _adapters.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:34(<module>)
      350    0.000    0.000    0.005    0.000 configparser.py:720(read_string)
       24    0.000    0.000    0.005    0.000 core.py:2986(parseImpl)
        4    0.000    0.000    0.005    0.001 core.py:2975(re_match)
     1513    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.005    0.001 core.py:2963(re)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
        2    0.000    0.000    0.005    0.003 core.py:3949(parseImpl)
        4    0.000    0.000    0.005    0.001 core.py:880(try_parse)
        2    0.000    0.000    0.005    0.003 specifiers.py:299(Specifier)
      391    0.000    0.000    0.005    0.000 typing.py:841(copy_with)
       18    0.005    0.000    0.005    0.000 {method 'readlines' of '_io._IOBase' objects}
      350    0.000    0.000    0.005    0.000 configparser.py:705(read_file)
        1    0.000    0.000    0.005    0.005 engines.py:1(<module>)
      246    0.000    0.000    0.005    0.000 _decorators.py:388(<listcomp>)
      350    0.002    0.000    0.005    0.000 configparser.py:996(_read)
     1178    0.000    0.000    0.005    0.000 tokenize.py:98(_compile)
        1    0.000    0.000    0.005    0.005 __init__.py:15(<module>)
        2    0.000    0.000    0.005    0.002 exceptions.py:3(<module>)
        2    0.000    0.000    0.005    0.002 datetimelike.py:1(<module>)
        1    0.000    0.000    0.005    0.005 array.py:1(<module>)
     4000    0.002    0.000    0.005    0.000 artist.py:1448(aliased_name)
        1    0.000    0.000    0.005    0.005 datapipe.py:1(<module>)
    73847    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.004    0.004 events.py:1(<module>)
    19694    0.004    0.000    0.004    0.000 sre_parse.py:234(__next)
       87    0.000    0.000    0.004    0.000 __init__.py:199(_make_prim)
        3    0.000    0.000    0.004    0.001 conv.py:2(<module>)
        3    0.000    0.000    0.004    0.001 transforms.py:1(<module>)
    27215    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      506    0.002    0.000    0.004    0.000 sre_compile.py:292(_optimize_charset)
        1    0.004    0.004    0.004    0.004 {built-in method torch._C._c10d_init}
       17    0.000    0.000    0.004    0.000 rcsetup.py:710(validate_cycler)
       95    0.004    0.000    0.004    0.000 {built-in method torch._C._jit_get_operation}
      101    0.001    0.000    0.004    0.000 artist.py:139(<listcomp>)
        1    0.000    0.000    0.004    0.004 _policybase.py:1(<module>)
        1    0.000    0.000    0.004    0.004 <__array_function__ internals>:177(lstsq)
        1    0.004    0.004    0.004    0.004 linalg.py:2157(lstsq)
        3    0.000    0.000    0.004    0.001 context.py:1(<module>)
        1    0.000    0.000    0.004    0.004 zipfile.py:1(<module>)
